1260,6431,Don't Get Me Wrong,The Pretenders,0.184
1260,1480,Slave to Love,Bryan Ferry,0.156
1260,53,The Winner Takes It All,ABBA,0.129
1272,12990,The Thrill Is Gone,B.B. King,0.124
1272,4366,You Can Leave Your Hat On,Joe Cocker,0.107
1272,1548,Mustang Sally,Buddy Guy,0.082
1272,172009,After Midnight,J.J. Cale,0.046
1272,1608,Minnie the Moocher,Cab Calloway,0.01
1283,92579,Common People,Pulp,0.201
1283,7966,Sing,Travis,0.12
1283,9156,Somewhere Only We Know,Keane,0.102
1283,167752,Dakota,Stereophonics,0.098
1283,14351,Everyday I Love You Less and Less,Kaiser Chiefs,0.088
1287,8150,Bitter Sweet Symphony,The Verve,0.457
1287,23189,Seven Nation Army,The White Stripes,0.387
1287,92579,Common People,Pulp,0.307
1287,4695,Somebody Told Me,The Killers,0.293
1287,6591,Losing My Religion,R.E.M.,0.277
1308,5791,Heart of Gold,Neil Young,0.247
1308,4441,Imagine,John Lennon,0.24
1308,7282,The Sound of Silence,Simon & Garfunkel,0.234
1308,5797,Old Man,Neil Young,0.225
1308,6929,Paint It Black,The Rolling Stones,0.18
1320,5791,Heart of Gold,Neil Young,0.246
1320,7282,The Sound of Silence,Simon & Garfunkel,0.216
1320,12777,Gimme Shelter,The Rolling Stones,0.162
1320,4964,Suzanne,Leonard Cohen,0.15
1320,4263,Somebody to Love,Jefferson Airplane,0.122
1321,7282,The Sound of Silence,Simon & Garfunkel,0.111
1321,12777,Gimme Shelter,The Rolling Stones,0.091
1321,4964,Suzanne,Leonard Cohen,0.083
1321,8134,Sunday Morning,The Velvet Underground,0.071
1321,4263,Somebody to Love,Jefferson Airplane,0.066
1324,8103,Beside You,Van Morrison,0.061
1324,3169,Tears in Heaven,Eric Clapton,0.051
1327,5791,Heart of Gold,Neil Young,0.251
1327,7282,The Sound of Silence,Simon & Garfunkel,0.207
1327,7273,Bridge over Troubled Water,Simon & Garfunkel,0.206
1327,5791,Heart of Gold,Neil Young,0.251
1327,7282,The Sound of Silence,Simon & Garfunkel,0.207
1327,7273,Bridge over Troubled Water,Simon & Garfunkel,0.206
1327,4441,Imagine,John Lennon,0.167
1327,4263,Somebody to Love,Jefferson Airplane,0.145
1329,5797,Old Man,Neil Young,0.229
1347,1352,Is This Love,Bob Marley,1
1347,4892,Stairway to Heaven,Led Zeppelin,0.002
1347,6929,Paint It Black,The Rolling Stones,0.002
1347,4893,Whole Lotta Love,Led Zeppelin,0.002
1347,1352,Is This Love,Bob Marley,1
1347,4892,Stairway to Heaven,Led Zeppelin,0.002
1347,6929,Paint It Black,The Rolling Stones,0.002
1347,4893,Whole Lotta Love,Led Zeppelin,0.002
1347,6906,Angie,The Rolling Stones,0.002
1352,1347,Could You Be Loved,Bob Marley,1
1352,5241,Bongo Bong,Manu Chao,0.059
1352,82063,You're Gonna Leave,Stephen Marley,0.055
1352,80271,Guess Who's Coming To Dinner,Black Uhuru,0.051
1352,81304,Longing For,Jah Cure,0.036
1353,5241,Bongo Bong,Manu Chao,0.09
1353,24568,Minha Galera,Manu Chao,0.069
1355,5241,Bongo Bong,Manu Chao,0.072
1355,4892,Stairway to Heaven,Led Zeppelin,0.004
1355,5104,What a Wonderful World,Louis Armstrong,0.003
1355,5241,Bongo Bong,Manu Chao,0.072
1355,4892,Stairway to Heaven,Led Zeppelin,0.004
1355,5104,What a Wonderful World,Louis Armstrong,0.003
1355,6906,Angie,The Rolling Stones,0.003
1355,6929,Paint It Black,The Rolling Stones,0.002
1358,1347,Could You Be Loved,Bob Marley,1
1358,5241,Bongo Bong,Manu Chao,0.083
1358,80838,Here I Come,Dennis Brown,0.078
1358,81304,Longing For,Jah Cure,0.067
1358,24568,Minha Galera,Manu Chao,0.051
1362,80271,Guess Who's Coming To Dinner,Black Uhuru,0.076
1362,4893,Whole Lotta Love,Led Zeppelin,0.002
1362,4892,Stairway to Heaven,Led Zeppelin,0.002
1428,12000,Holding Out for a Hero,Bonnie Tyler,0.951
1428,7660,Eye of the Tiger,Survivor,0.552
1428,12000,Holding Out for a Hero,Bonnie Tyler,0.951
1428,7660,Eye of the Tiger,Survivor,0.552
1428,731,Eternal Flame,The Bangles,0.537
1428,53,The Winner Takes It All,ABBA,0.394
1428,11969,Don't Dream It's Over,Paul Young,0.217
1445,7789,Can We Talk,Tevin Campbell,0.457
1445,2624,Survivor,Destiny's Child,0.164
1445,189981,All of Me,John Legend,0.141
1445,602,Foolish,Ashanti,0.119
1445,10496,Last Night,Az Yet,0.106
1447,31606,Convalescent,Brad Mehldau,0.897
1447,20431,Here's That Rainy Day,Gonzalo Rubalcaba,0.041
1447,183806,Enter Here,Jack DeJohnette,0.035
1456,605,Rain On Me,Ashanti,0.26
1456,4078,Thank You,Jamelia,0.119
1456,605,Rain On Me,Ashanti,0.26
1456,4078,Thank You,Jamelia,0.119
1480,7728,Shout,Tears for Fears,0.243
1480,1971,Wicked Game,Chris Isaak,0.235
1480,6431,Don't Get Me Wrong,The Pretenders,0.229
1480,7728,Shout,Tears for Fears,0.243
1480,1971,Wicked Game,Chris Isaak,0.235
1480,6431,Don't Get Me Wrong,The Pretenders,0.229
1480,6496,Purple Rain,Prince,0.227
1480,2453,Let's Dance,David Bowie,0.201
1494,900066,The Heart Wants What It Wants,Selena Gomez,0.303
1494,15208,Hurt,Christina Aguilera,0.262
1494,185268,Skyscraper,Demi Lovato,0.176
1494,61223,Bleeding Love,Leona Lewis,0.171
1494,9068,Stickwitu,The Pussycat Dolls,0.149
1505,130663,Sober,P!nk,0.042
1505,9068,Stickwitu,The Pussycat Dolls,0.04
1505,99492,Shake It Off,Mariah Carey,0.003
1505,177002,Radio,Lana Del Rey,0.002
1545,7567,The Sky Is Crying,Stevie Ray Vaughan,0.059
1545,7567,The Sky Is Crying,Stevie Ray Vaughan,0.059
1548,12990,The Thrill Is Gone,B.B. King,0.873
1548,172009,After Midnight,J.J. Cale,0.28
1558,5241,Bongo Bong,Manu Chao,0.08
1558,24568,Minha Galera,Manu Chao,0.045
1548,12990,The Thrill Is Gone,B.B. King,0.873
1548,172009,After Midnight,J.J. Cale,0.28
1558,5241,Bongo Bong,Manu Chao,0.08
1558,24568,Minha Galera,Manu Chao,0.045
1558,1102,Ain't No Sunshine,Bill Withers,0.003
1558,5241,Bongo Bong,Manu Chao,0.08
1558,24568,Minha Galera,Manu Chao,0.045
1558,1102,Ain't No Sunshine,Bill Withers,0.003
1558,900058,Uptown Funk,Mark Ronson,0.001
1558,181,Let's Stay Together,Al Green,0.001
1560,4964,Suzanne,Leonard Cohen,0.001
1560,1102,Ain't No Sunshine,Bill Withers,0.001
1560,181,Let's Stay Together,Al Green,0.001
1564,1102,Ain't No Sunshine,Bill Withers,0.001
1565,1564,Murmullo,Buena Vista Social Club,0.987
1564,1102,Ain't No Sunshine,Bill Withers,0.001
1565,1564,Murmullo,Buena Vista Social Club,0.987
1565,1102,Ain't No Sunshine,Bill Withers,0.001
1565,181,Let's Stay Together,Al Green,0.001
1608,3664,In the Mood,Glenn Miller,0.762
1565,1564,Murmullo,Buena Vista Social Club,0.987
1565,1102,Ain't No Sunshine,Bill Withers,0.001
1565,181,Let's Stay Together,Al Green,0.001
1608,3664,In the Mood,Glenn Miller,0.762
1608,32818,Cheek To Cheek,Ella Fitzgerald,0.453
1608,3664,In the Mood,Glenn Miller,0.762
1608,32818,Cheek To Cheek,Ella Fitzgerald,0.453
1608,5002,On the Sunny Side of the Street,Lionel Hampton,0.293
1695,4054,Ne me quitte pas,Jacques Brel,0.104
1695,5920,Ne Me Quitte Pas,Nina Simone,0.057
1695,4054,Ne me quitte pas,Jacques Brel,0.104
1695,5920,Ne Me Quitte Pas,Nina Simone,0.057
1695,5966,Don't Know Why,Norah Jones,0.006
1695,171713,Someone Like You,Adele,0.004
1695,5964,Come Away with Me,Norah Jones,0.004
1722,7505,What The World Needs Now Is Love,Stacey Kent,0.084
1722,154421,In The Wee Small Hours Of The Morning,Johnny Hartman,0.044
1722,176384,Come Sunday,Roberta Gambarini,0.003
1722,153771,In Love In Vain,Chris Connor,0.002
1722,33517,When Did You Leave Heaven,Lisa Ekdahl,0.002
1732,905,How Deep Is Your Love,Bee Gees,0.121
1732,2789,Hot Stuff,Donna Summer,0.096
1732,60488,Time in a Bottle,Jim Croce,0.064
1732,7273,Bridge over Troubled Water,Simon & Garfunkel,0.001
1755,1759,Oh Very Young,Cat Stevens,1
1755,1759,Oh Very Young,Cat Stevens,1
1755,7273,Bridge over Troubled Water,Simon & Garfunkel,0.126
1755,1308,Blowin' in the Wind,Bob Dylan,0.112
1755,60488,Time in a Bottle,Jim Croce,0.111
1755,4964,Suzanne,Leonard Cohen,0.108
1759,5797,Old Man,Neil Young,0.088
1759,4441,Imagine,John Lennon,0.08
1759,6906,Angie,The Rolling Stones,0.064
1759,4965,Take This Longing,Leonard Cohen,0.046
1759,132806,California Dreamin',The Mamas & the Papas,0.036
1762,60488,Time in a Bottle,Jim Croce,0.095
1762,7273,Bridge over Troubled Water,Simon & Garfunkel,0.082
1762,4964,Suzanne,Leonard Cohen,0.068
1762,55467,Famous Blue Raincoat,Leonard Cohen,0.063
1762,5791,Heart of Gold,Neil Young,0.061
1845,1914,Moon Love,Chet Baker,0.03
1845,12452,God Bless The Child,Billie Holiday,0.002
1905,161826,Strange Fruit,Billie Holiday,0.09
1905,1125,Gloomy Sunday,Billie Holiday,0.088
1905,5914,I Put a Spell on You,Nina Simone,0.079
1905,161826,Strange Fruit,Billie Holiday,0.09
1905,1125,Gloomy Sunday,Billie Holiday,0.088
1905,5914,I Put a Spell on You,Nina Simone,0.079
1905,7505,What The World Needs Now Is Love,Stacey Kent,0.062
1905,40208,I Miss You So,Diana Krall,0.059
1906,1921,Time After Time,Chet Baker,1
1906,114993,Between The Bars,Madeleine Peyroux,0.062
1906,5762,Unforgettable,Nat King Cole,0.047
1906,63262,Tea for Two,Blossom Dearie,0.039
1906,5012,Night And Day,Lisa Ekdahl,0.001
1907,40238,Love Letters,Diana Krall,0.034
1907,115002,The Summer Wind,Madeleine Peyroux,0.029
1907,34386,Lover Man,Sarah Vaughan,0.028
1907,8202,Infant Eyes,Wayne Shorter,0.018
1909,1910,I've Never Been in Love Before,Chet Baker,0.973
1909,1910,I've Never Been in Love Before,Chet Baker,0.973
1910,1909,It's Always You,Chet Baker,0.993
1910,3455,I've Got You Under My Skin,Frank Sinatra,0.04
1910,40245,The Look Of Love,Diana Krall,0.037
1910,5762,Unforgettable,Nat King Cole,0.03
1910,1909,It's Always You,Chet Baker,0.993
1910,3455,I've Got You Under My Skin,Frank Sinatra,0.04
1910,40245,The Look Of Love,Diana Krall,0.037
1910,5762,Unforgettable,Nat King Cole,0.03
1910,11089,The Girl From Ipanema,Stan Getz,0.001
1914,1907,I'm Glad There Is You,Chet Baker,1
1914,183074,I Should Care,Hank Mobley,0.07
1914,3201,Misty,Erroll Garner,0.057
1914,40236,Why Should I Care,Diana Krall,0.047
1914,153968,Don't Love Me,Coleman Hawkins,0.043
1918,1920,This Is Always,Chet Baker,1
1918,63262,Tea for Two,Blossom Dearie,0.052
1918,154421,In The Wee Small Hours Of The Morning,Johnny Hartman,0.042
1918,115002,The Summer Wind,Madeleine Peyroux,0.04
1918,8202,Infant Eyes,Wayne Shorter,0.032
1920,1918,Someone to Watch Over Me,Chet Baker,0.983
1920,7514,Thanks For The Memory,Stan Getz,0.039
1920,115002,The Summer Wind,Madeleine Peyroux,0.036
1920,8202,Infant Eyes,Wayne Shorter,0.035
1920,156806,The Very Thought Of You,Frank Sinatra,0.024
1921,5914,I Put a Spell on You,Nina Simone,0.051
1921,114992,You're Gonna Make Me Lonesome When You Go,Madeleine Peyroux,0.046
1921,161481,Some Lessons,Melody Gardot,0.037
1921,34386,Lover Man,Sarah Vaughan,0.026
1921,8202,Infant Eyes,Wayne Shorter,0.022
1957,1971,Wicked Game,Chris Isaak,0.799
1957,1480,Slave to Love,Bryan Ferry,0.178
1957,7728,Shout,Tears for Fears,0.178
1957,6431,Don't Get Me Wrong,The Pretenders,0.139
1957,731,Eternal Flame,The Bangles,0.116
1958,55467,Famous Blue Raincoat,Leonard Cohen,0.003
1971,1957,Blue Hotel,Chris Isaak,1
1971,1480,Slave to Love,Bryan Ferry,0.315
1971,7728,Shout,Tears for Fears,0.251
1971,89271,Wonderful Tonight,Eric Clapton,0.25
1971,1957,Blue Hotel,Chris Isaak,1
1971,1480,Slave to Love,Bryan Ferry,0.315
1971,7728,Shout,Tears for Fears,0.251
1971,89271,Wonderful Tonight,Eric Clapton,0.25
1971,731,Eternal Flame,The Bangles,0.234
1997,2623,Soldier,Destiny's Child,0.245
1997,4579,Cry Me a River,Justin Timberlake,0.178
1997,900137,Chains,Nick Jonas,0.133
1997,130663,Sober,P!nk,0.117
1997,900178,Elastic Heart,Sia,0.092
2000,2624,Survivor,Destiny's Child,0.223
2000,130663,Sober,P!nk,0.212
2000,117705,So What,P!nk,0.211
2000,4579,Cry Me a River,Justin Timberlake,0.159
2000,401,Left Outside Alone,Anastacia,0.109
2100,2294,Plainsong,The Cure,0.001
2105,2294,Plainsong,The Cure,0.069
2105,177402,Decomposing Trees,Galaxie 500,0.066
2105,4542,Love Will Tear Us Apart,Joy Division,0.002
2105,8134,Sunday Morning,The Velvet Underground,0.001
2105,2294,Plainsong,The Cure,0.069
2105,177402,Decomposing Trees,Galaxie 500,0.066
2105,4542,Love Will Tear Us Apart,Joy Division,0.002
2105,8134,Sunday Morning,The Velvet Underground,0.001
2115,9156,Somewhere Only We Know,Keane,0.102
2115,9156,Somewhere Only We Know,Keane,0.102
2115,8150,Bitter Sweet Symphony,The Verve,0.09
2115,1287,Song 2,Blur,0.078
2115,7966,Sing,Travis,0.062
2115,162073,How to Save a Life,The Fray,0.057
2133,9156,Somewhere Only We Know,Keane,0.262
2133,8150,Bitter Sweet Symphony,The Verve,0.208
2133,10643,Starlight,Muse,0.181
2133,1287,Song 2,Blur,0.179
2133,7966,Sing,Travis,0.131
2136,2649,Darn That Dream,Dexter Gordon,0.447
2167,42910,Storm,Lifehouse,0.496
2167,169085,9 Crimes,Damien Rice,0.038
2167,10908,Iris,Goo Goo Dolls,0.026
2167,11366,One Headlight,The Wallflowers,0.013
2167,42910,Storm,Lifehouse,0.496
2167,169085,9 Crimes,Damien Rice,0.038
2167,10908,Iris,Goo Goo Dolls,0.026
2167,11366,One Headlight,The Wallflowers,0.013
2173,11366,One Headlight,The Wallflowers,0.138
2173,11366,One Headlight,The Wallflowers,0.138
2173,6591,Losing My Religion,R.E.M.,0.116
2173,10908,Iris,Goo Goo Dolls,0.096
2173,53310,Bullet With Butterfly Wings,The Smashing Pumpkins,0.085
2173,122286,Glycerine,Bush,0.064
2174,2173,Rain King,Counting Crows,1
