Song_id,Title,Artist,Valance,Arousal,Genre,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,have_sim
189,Blue eyes,Elton John,903091,326954,pop,95,91,3,336,439,1
190,Can You Feel The Love Tonight,Elton John,814238,258837,pop,-1,-1,-1,-1,-1,0
191,Harbor lights,Elvis Presley,864924,100567,rock,-1,-1,-1,-1,-1,0
192,Love me tender,Elvis Presley,786469,283091,rock,423,227,60,511,508,1
193,Big Winnie,Eminem,339817,566356,hip hop,-1,-1,-1,-1,-1,0
194,Encore - curtains down,Eminem,234975,485268,hip hop,-1,-1,-1,-1,-1,0
195,Like toy soldiers,Eminem,236218,399878,hip hop,308,777,378,475,1904,1
196,Rain man,Eminem,239104,415692,hip hop,308,1655,777,377,-1,1
197,Say goodbye Hollywood,Eminem,398887,477684,hip hop,840,-1,-1,-1,-1,1
198,Strange and beautiful (i'll put a spell on you),Aqualung,931347,275184,rock,2206,1395,702,2105,800,1
199,Theme,Ennio Morricone,137730,227693,soundtrack,-1,-1,-1,-1,-1,0
200,Theme,Angelo Badalamenti,974595,149212,soundtrack,-1,-1,-1,-1,-1,0
201,A Day Without Rain,Enya,893005,290936,vocal pop,-1,-1,-1,-1,-1,0
202,Storms In Africa,Enya,537782,394450,vocal pop,-1,-1,-1,-1,-1,0
203,Kind hearted woman blues,Eric Clapton,363365,543459,rock,205,517,-1,-1,-1,1
204,Last fair deal gone down,Eric Clapton,1000108,1044551,rock,-1,-1,-1,-1,-1,0
205,Layla,Eric Clapton,875164,536791,rock,207,299,181,483,300,1
206,Tears in heaven,Eric Clapton,770063,259624,rock,206,1676,181,299,273,1
207,After midnight,Eric Clapton,993228,986629,rock,715,181,273,3304,508,1
208,Misty,Erroll Garner,982323,199437,jazz,3147,121,1107,1476,-1,1
209,Turquoise,Erroll Garner,895262,412542,jazz,-1,-1,-1,-1,-1,0
210,Certainly,Erykah Badu,743809,521389,randb,292,3813,11,70,1539,1
211,No love,Erykah Badu,808792,454364,randb,292,3813,3693,1776,11,1
212,I've forgotten more than you ever know about him,Esther Phillips,921573,576544,blues,-1,-1,-1,-1,-1,0
213,I got it bad and that ain't good,Etta James,217528,163614,blues,-1,-1,-1,-1,-1,0
214,I just want to make love to you,Etta James,814350,978817,jazz,29,403,70,60,712,1
215,Bring me to life,Evanescence,138685,885503,rock,787,1494,308,1,1904,1
216,Epic,Faith No More,338140,901626,rock,929,1360,1711,446,862,1
217,We care a lot,Faith No More,281838,872863,rock,1360,929,1711,764,862,1
218,Because We Can,Fatboy Slim,737344,918831,electro,627,4007,-1,-1,-1,1
219,The rockafeller skank,Fatboy Slim,544806,1050491,electro,928,258,663,929,1717,1
220,Jack it up,Fatboy Slim,736122,1043467,electro,-1,-1,-1,-1,-1,0
221,Saudade,Flora Purim,872403,175429,latin,2476,2043,1175,-1,-1,1
222,Best of you,Foo Fighters,819805,898070,rock,378,1711,3051,764,402,1
223,That was yesterday,Foreigner,143395,746697,rock,442,523,-1,-1,-1,1
224,In the wee small hours of the morning,Frank Sinatra,898721,99809,vocal pop,357,237,-1,-1,-1,1
225,I've got you under my skin,Frank Sinatra,974593,320894,vocal pop,357,320,237,1058,106,1
226,Strangers in the night,Frank Sinatra,993545,285066,vocal pop,320,3145,357,237,423,1
227,Living on my own,Freddie Mercury,233869,552501,rock,522,152,674,499,240,1
228,Moani Ke'ala,Gabby Pahinui,942031,191506,world,-1,-1,-1,-1,-1,0
229,Eu sei que vou te amar,Gal Costa,960700,66223,latin,-1,-1,-1,-1,-1,0
230,Cherry lips (Go baby go),Garbage,733027,920432,rock,1360,512,862,2347,1503,1
231,Milk,Garbage,127937,312126,rock,734,1297,446,380,512,1
232,Looking for someone,Genesis,123708,661024,rock,875,-1,-1,-1,-1,1
233,Father figure,George Michael,752525,225375,pop,95,439,45,129,1371,1
234,It's raining men,Geri Halliwell,821111,917465,pop,18,263,1766,798,3946,1
235,So anxious,Ginuwine,704706,296565,randb,527,636,32,33,628,1
236,In The Mood,Glenn Miller,914180,604790,jazz,106,3145,357,3063,473,1
237,dance of the blessed spirits,Christoph Willibald Gluck,254462,174094,classical,-1,-1,-1,-1,-1,0
238,Don't cry,Guns N' Roses,59304,706270,rock,1198,499,299,445,289,1
239,Knockin' On Heaven's Door,Guns N' Roses,827621,592696,rock,499,299,770,289,1649,1
240,Live And Let Die,Guns N' Roses,617283,960434,rock,2293,770,442,299,1649,1
241,Paradise city,Guns N' Roses,403227,981214,rock,652,4,770,1649,296,1
242,Introduction,George Frideric Handel,883445,463471,classical,-1,-1,-1,-1,-1,0
243,The kiss,Herbie Hancock,862785,324090,soundtrack,3848,-1,-1,-1,-1,1
244,The prophecy,Howard Shore,93574,254445,soundtrack,2197,736,684,1437,-1,1
245,Long distance,Iggy Pop,240035,10294,rock,2439,-1,-1,-1,-1,1
246,Lust for life,Iggy Pop,733130,891044,rock,276,262,484,78,914,1
247,Little things,India.Arie,957221,400506,randb,2268,1253,-1,-1,-1,1
248,The Gift,INXS,117666,817897,rock,523,437,95,-1,-1,1
249,Ain't no sunshine,The Jackson 5,96296,553992,randb,-1,-1,-1,-1,-1,0
250,Can you feel it,The Jackson 5,901464,831843,randb,-1,-1,-1,-1,-1,0
251,Ne me quitte pas,Jacques Brel,156600,192941,vocal pop,1378,373,305,-1,-1,1
252,Could it be,Jaheim,879488,503665,randb,33,636,-1,-1,-1,1
253,Thank You,Jamelia,828320,538153,randb,623,1407,2093,-1,-1,1
254,It's a man's man's man's world,James Brown,110077,759687,randb,11,70,29,60,403,1
255,Living in America,James Brown,841968,817060,randb,11,29,-1,-1,-1,1
256,Black capricorn day,Jamiroquai,597371,862195,randb,3129,-1,-1,-1,-1,1
257,Canned Heat,Jamiroquai,889871,934332,randb,4074,220,557,78,663,1
258,70's love groove,Janet Jackson,865661,46131,randb,33,3994,-1,-1,-1,1
259,Come back to me,Janet Jackson,849688,351837,randb,819,32,527,3994,439,1
260,Looking for love,Janet Jackson,844186,36921,randb,1249,1407,254,-1,-1,1
261,Somebody to love,Jefferson Airplane,616082,974438,rock,2427,484,21,343,556,1
262,Let's get loud,Jennifer Lopez,871137,969589,pop,480,235,4053,3643,3994,1
263,Should've never,Jennifer Lopez,178670,292678,pop,1407,1574,-1,-1,-1,1
264,Calling You,Bob Telson,296522,88561,soundtrack,-1,-1,-1,-1,-1,0
265,Fire,Jimi Hendrix,565286,975940,rock,300,708,262,556,206,1
266,Wild thing,Jimi Hendrix,245788,949799,rock,294,484,262,160,21,1
267,I Love Rock And Roll,Joan Jett and the Blackhearts,776551,888642,rock,289,242,803,499,770,1
268,You can leave your hat on,Joe Cocker,226827,790785,rock,206,444,181,483,21,1
269,Serenity,John Coltrane,55948,355044,jazz,-1,-1,-1,-1,-1,0
270,Too young to get steady,John Coltrane,193712,406776,jazz,-1,-1,-1,-1,-1,0
271,Deep blue sea,John Lee Hooker,52099,281823,blues,-1,-1,-1,-1,-1,0
272,Imagine,John Lennon,857186,351723,pop,299,181,207,412,483,1
273,Working class hero,John Lennon,25766,210649,pop,835,299,79,360,708,1
274,Manha de carnaval,Al Di Meola,320037,306053,jazz,-1,-1,-1,-1,-1,0
275,Love will tear us apart,Joy Division,206736,738022,rock,1349,152,75,458,78,1
276,Cry me a river,Justin Timberlake,265506,477426,pop,165,4025,132,3288,4091,1
277,That day,Karrin Allyson,954677,29393,soundtrack,514,167,2023,2990,2020,1
278,Sail away,Kate Bush,880040,484025,pop,-1,-1,-1,-1,-1,0
279,That's the way I like it,KC and The Sunshine Band,944277,922119,randb,176,-1,-1,-1,-1,1
280,Over the rainbow,Keith Jarrett,504951,178836,jazz,1611,3215,1112,1160,811,1
281,Behind these hazel eyes,Kelly Clarkson,148141,928554,pop,38,2347,132,18,1297,1
282,Since you been gone,Kelly Clarkson,15519,960428,pop,282,573,786,2060,132,1
283,Goodbye,Kevin Shields,71708,32251,soundtrack,1394,1138,3848,3847,-1,1
284,Pleasure is kisses within,Keziah Jones,854937,320212,randb,-1,-1,-1,-1,-1,0
285,She woolf daydreaming,Kid Loco,715348,323513,electro,1383,346,1392,-1,-1,1
286,Somebody told me,The Killers,290482,957932,rock,638,2286,3961,3051,914,1
287,Rock and roll all nite,Kiss,884735,937703,rock,2290,652,770,1649,561,1
288,I was made for lovin' you,Kiss,814711,945092,rock,2293,499,242,1649,770,1
289,4 u,Korn,45616,552305,metal,291,777,2437,2403,-1,1
290,It's gonna go away,Korn,60568,790901,metal,-1,-1,-1,-1,-1,0
291,Ex-factor,Lauryn Hill,881204,436508,randb,756,1790,11,32,2267,1
292,Babe I'm gonna leave you,Led Zeppelin,10245,893684,rock,294,159,770,708,442,1
293,Dazed and confused,Led Zeppelin,14870,735102,rock,159,770,708,262,4,1
294,Heartbreaker,Led Zeppelin,389681,802799,rock,300,770,266,708,4,1
295,Immigrant Song,Led Zeppelin,266642,995790,rock,300,770,412,484,4,1
296,Rain song,Led Zeppelin,241279,177194,rock,875,1331,770,266,267,1
297,Ramble on,Led Zeppelin,330389,675579,rock,300,770,708,4,442,1
298,Stairway to heaven,Led Zeppelin,140075,963587,rock,412,181,159,770,652,1
299,Whole Lotta love,Led Zeppelin,296969,765115,rock,298,770,412,708,4,1
300,California,Lenny Kravitz,479643,991006,rock,1346,647,1359,217,1699,1
301,Can we find a reason,Lenny Kravitz,152465,239914,rock,13,-1,-1,-1,-1,1
302,Live,Lenny Kravitz,803674,819106,rock,1508,856,-1,-1,-1,1
303,My Precious Love,Lenny Kravitz,802153,504927,rock,13,-1,-1,-1,-1,1
304,Suzanne,Leonard Cohen,281051,188770,folk,79,2510,552,556,708,1
305,Take this longing,Leonard Cohen,158459,70263,folk,552,508,-1,-1,-1,1
306,Breaking The Habit,Linkin Park,10993,927941,rock,777,3182,869,856,1,1
307,Numb,Linkin Park,89330,804214,rock,777,1,856,3182,869,1
308,On the sunny side of the street,Lionel Hampton,848326,418253,jazz,-1,-1,-1,-1,-1,0
309,It had to be you,Lisa Ekdahl,944057,317334,jazz,313,315,2024,514,1466,1
310,Just for a thrill,Lisa Ekdahl,929385,323009,jazz,313,316,-1,-1,-1,1
